City,State,State Code,Longitude,Latitude,City Population Density,City Population,State Population,Population Proportion-City in State,State GDP,State GDP Per Capita,NBA Team,NFL Team,NHL Team,MLB Team,MLS Team,Predicted Success Index
Yonkers,New York,NY,-73.899,40.932,4538.0,211569.0,20201249.0,1.047306530403145,1772260.7,87.7302537085702,0,0,0,0,0,10.0
Palmdale,California,CA,-118.117,34.58,617.0,169450.0,39538223.0,0.4285726245208339,3132800.6,79.23473444924421,0,0,0,0,0,8.79405159883773
Albuquerque,New Mexico,NM,-106.652,35.084,1164.0,564559.0,2117522.0,26.661305053737337,105143.4,49.65398234351285,0,0,0,0,0,8.778291826317473
Lancaster,California,CA,-118.148,34.697,710.0,173516.0,39538223.0,0.4388563441508233,3132800.6,79.23473444924421,0,0,0,0,0,8.603378257621742
Thousand Oaks,California,CA,-118.845,34.175,886.0,126966.0,39538223.0,0.3211221708168321,3132800.6,79.23473444924421,0,0,0,0,0,8.550276937005547
Victorville,California,CA,-117.294,34.537,706.0,134810.0,39538223.0,0.3409612010130045,3132800.6,79.23473444924421,0,0,0,0,0,8.531117299758415
Menifee,California,CA,-117.189,33.685,851.0,102527.0,39538223.0,0.2593110975169521,3132800.6,79.23473444924421,0,0,0,0,0,8.45375902089878
Jurupa Valley,California,CA,-117.475,33.999,946.0,105053.0,39538223.0,0.2656998520140877,3132800.6,79.23473444924421,0,0,0,0,0,8.285462265817845
Simi Valley,California,CA,-118.779,34.272,1176.0,126356.0,39538223.0,0.3195793599525198,3132800.6,79.23473444924421,0,0,0,0,0,8.088628340653933
Carlsbad,California,CA,-117.351,33.158,1172.0,114746.0,39538223.0,0.290215369567823,3132800.6,79.23473444924421,0,0,0,0,0,8.083939183093797
Lynn,Massachusetts,MA,-70.951,42.464,3654.0,101253.0,7029917.0,1.4403157249224992,596593.1,84.86488531799166,0,0,0,0,0,8.065319925991437
Temecula,California,CA,-117.149,33.493,1139.0,110003.0,39538223.0,0.2782193827982608,3132800.6,79.23473444924421,0,0,0,0,0,8.043475635213884
Bakersfield,California,CA,-119.019,35.373,1040.0,403455.0,39538223.0,1.0204176348542524,3132800.6,79.23473444924421,0,0,0,0,0,7.9686985738737794
Brownsville,Texas,TX,-97.498,25.902,550.0,186738.0,29145505.0,0.6407094335816106,1843802.7,63.26199185774959,0,0,0,0,0,7.952352751650672
Fremont,California,CA,-121.988,37.549,1137.0,230504.0,39538223.0,0.5829902876515214,3132800.6,79.23473444924421,0,0,0,0,0,7.9075351861704535
Santa Clarita,California,CA,-118.541,34.38,1250.0,228673.0,39538223.0,0.5783593258604465,3132800.6,79.23473444924421,0,0,0,0,0,7.888619918831175
Murrieta,California,CA,-117.214,33.554,1275.0,110949.0,39538223.0,0.2806120042370139,3132800.6,79.23473444924421,0,0,0,0,0,7.8655449839573155
Fairfield,California,CA,-122.04,38.249,1113.0,119881.0,39538223.0,0.3032028020075662,3132800.6,79.23473444924421,0,0,0,0,0,7.843379530352765
Bridgeport,Connecticut,CT,-73.194,41.198,3565.0,148654.0,3605944.0,4.122471119906466,287822.2,79.81882136827416,0,0,0,0,0,7.766549821010172
El Paso,Texas,TX,-106.488,31.76,1014.0,678815.0,29145505.0,2.32905554389948,1843802.7,63.26199185774959,0,0,0,0,0,7.762828546896808
Edinburg,Texas,TX,-98.162,26.301,866.0,100243.0,29145505.0,0.3439398288003587,1843802.7,63.26199185774959,0,0,0,0,0,7.7560161026392125
McAllen,Texas,TX,-98.231,26.203,881.0,142210.0,29145505.0,0.4879311578234792,1843802.7,63.26199185774959,0,0,0,0,0,7.743621160791797
Surprise,Arizona,AZ,-112.377,33.63,501.0,143148.0,7151502.0,2.001649443711265,370119.1,51.75403712394962,0,0,0,0,0,7.7357395657683705
Midland,Texas,TX,-102.074,31.998,678.0,132524.0,29145505.0,0.4546979028155457,1843802.7,63.26199185774959,0,0,0,0,0,7.725226304204384
Ontario,California,CA,-117.651,34.063,1353.0,175265.0,39538223.0,0.4432799116945645,3132800.6,79.23473444924421,0,0,0,0,0,7.7238332985795966
Laredo,Texas,TX,-99.503,27.506,925.0,255205.0,29145505.0,0.8756238740759511,1843802.7,63.26199185774959,0,0,0,0,0,7.672965694496847
Peoria,Arizona,AZ,-112.238,33.582,419.0,190985.0,7151502.0,2.670557877212368,370119.1,51.75403712394962,0,0,0,0,0,7.668542292387015
Hayward,California,CA,-122.085,37.671,1374.0,162954.0,39538223.0,0.4121429534149777,3132800.6,79.23473444924421,0,0,0,0,0,7.656872262234665
Odessa,Texas,TX,-102.369,31.848,864.0,114428.0,29145505.0,0.3926094263935382,1843802.7,63.26199185774959,0,0,0,0,0,7.64852950463793
Alexandria,Virginia,VA,-77.047,38.805,4132.0,159467.0,8631393.0,1.8475233371948188,556905.2,64.52089483122828,0,0,0,0,0,7.632211538227864
San Bernardino,California,CA,-117.292,34.106,1381.0,222101.0,39538223.0,0.5617374356960858,3132800.6,79.23473444924421,0,0,0,0,0,7.619699719038435
Lowell,Massachusetts,MA,-71.313,42.645,3281.0,115554.0,7029917.0,1.6437462917414245,596593.1,84.86488531799166,0,0,0,0,0,7.608644403851783
Vacaville,California,CA,-121.986,38.357,1322.0,102386.0,39538223.0,0.2589544805794636,3132800.6,79.23473444924421,0,0,0,0,0,7.588839591453511
Abilene,Texas,TX,-99.733,32.449,453.0,125182.0,29145505.0,0.4295070543468023,1843802.7,63.26199185774959,0,0,0,0,0,7.5863381049522545
Escondido,California,CA,-117.081,33.122,1563.0,151038.0,39538223.0,0.3820050283999865,3132800.6,79.23473444924421,0,0,0,0,0,7.574150287946119
Corona,California,CA,-117.567,33.876,1520.0,157136.0,39538223.0,0.3974280786468325,3132800.6,79.23473444924421,0,0,0,0,0,7.571965998250992
Louisville,Kentucky,KY,-85.757,38.257,927.0,633045.0,4505836.0,14.049446096129554,215398.9,47.80442519434795,0,0,0,0,0,7.564714018615754
Richmond,California,CA,-122.348,37.936,1494.0,116448.0,39538223.0,0.2945200647990679,3132800.6,79.23473444924421,0,0,0,0,0,7.537053545356226
Oceanside,California,CA,-117.384,33.195,1627.0,174068.0,39538223.0,0.440252461523119,3132800.6,79.23473444924421,0,0,0,0,0,7.532153874053425
Visalia,California,CA,-119.292,36.33,1440.0,141384.0,39538223.0,0.3575881495736416,3132800.6,79.23473444924421,0,0,0,0,0,7.505493492249345
Santa Maria,California,CA,-120.436,34.953,1858.0,109707.0,39538223.0,0.2774707401493486,3132800.6,79.23473444924421,0,0,0,0,0,7.497695497217847
Chico,California,CA,-121.839,39.728,1149.0,101475.0,39538223.0,0.2566503810755481,3132800.6,79.23473444924421,0,0,0,0,0,7.495080847938897
