City,State,State Code,Longitude,Latitude,City Population Density,City Population,State Population,Population Proportion(City in State),State GDP,State GDP Per Capita,NBA Team,NFL Team,NHL Team,MLB Team,MLS Team,Team Number,Success Index
Dallas,Texas,TX,-96.797,32.781,1483.0,1304379.0,29145505.0,4.475403668593151,1843802.7,63.261991857749585,1,1,1,0,0,3,4.365400412848143
Orlando,Florida,FL,-81.378,28.543,1074.0,307573.0,21538187.0,1.4280357023550774,1106500.1,51.37387376198377,1,0,0,0,1,2,1.6848517528983202
San Antonio,Texas,TX,-98.49,29.423,1110.0,1434625.0,29145505.0,4.922285614882981,1843802.7,63.261991857749585,1,0,0,0,0,1,5.2347182748539165
Denver,Colorado,CO,-104.987,39.739,1805.0,715522.0,5773714.0,12.392751009142469,392986.0,68.06468072370748,1,1,1,1,1,5,2.8148412864183805
New York,New York,NY,-74.007,40.714,11312.0,8804190.0,20201249.0,43.582404236490525,1772260.7,87.7302537085702,2,0,2,2,1,7,5.835270061856194
Washington,District of Columbia,DC,-77.036,38.895,4358.0,689545.0,689545.0,100.0,143389.3,207.94770464581717,1,1,1,1,1,5,4.61507381437297
Oakland,California,CA,-122.271,37.804,3044.0,440646.0,39538223.0,1.1144810428126726,3132800.6,79.23473444924421,1,1,0,1,0,3,4.932611452370025
Los Angeles,California,CA,-118.243,34.052,3206.0,3898747.0,39538223.0,9.86070365377827,3132800.6,79.23473444924421,2,0,1,1,1,5,5.8468571013942245
Memphis,Tennessee,TN,-90.052,35.146,823.0,633104.0,6910840.0,9.16102818181292,376582.4,54.49155240173409,1,0,0,0,0,1,1.2820868393018023
Milwaukee,Wisconsin,WI,-87.905,43.042,2300.0,577222.0,5893718.0,9.793851690902075,349416.5,59.286260387755235,1,0,0,1,0,2,2.184935202934593
Phoenix,Arizona,AZ,-112.074,33.448,1199.0,1608139.0,7151502.0,22.486730759496396,370119.1,51.75403712394962,1,0,0,1,0,2,1.5948808509148473
Miami,Florida,FL,-80.192,25.774,4743.0,442241.0,21538187.0,2.0532879578025764,1106500.1,51.37387376198377,1,0,0,1,0,2,2.914517403718028
Indianapolis,Indiana,IN,-86.158,39.769,948.0,887642.0,6785528.0,13.081399118830547,379684.1,55.95498242730705,1,1,0,0,0,2,2.2747444706729274
Sacramento,California,CA,-121.496,38.577,2056.0,524943.0,39538223.0,1.327684858269933,3132800.6,79.23473444924421,1,0,0,0,0,1,2.3191088647620464
Detroit,Michigan,MI,-83.047,42.332,1779.0,639111.0,10077331.0,6.342066168115347,536888.3,53.276834907973154,1,1,1,1,0,4,5.00697426056124
Portland,Oregon,OR,-122.679,45.519,1887.0,652503.0,4237256.0,15.399187587438663,253623.2,59.85552914433303,1,0,0,0,1,2,3.6340672583348845
Oklahoma City,Oklahoma,OK,-97.516,35.468,434.0,681054.0,3959353.0,17.20114372221926,202036.1,51.02755424939378,1,0,0,0,0,1,1.450730907494724
Cleveland,Ohio,OH,-81.694,41.5,1852.0,372624.0,11799448.0,3.1579782376260317,695361.6,58.93170595777023,1,1,0,1,0,3,1.9121211016901782
New Orleans,Louisiana,LA,-90.063,29.957,875.0,383997.0,4657757.0,8.244247177343086,256918.5,55.15927516184292,1,1,0,0,0,2,1.8036430844308533
